model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,global_in_73_trigger,,19,12.480011284085494,0.45718108831400533,41,8968
global,global_in_51_trigger,,19,12.495089266366133,0.45718108831400533,41,8968
global,global_in_74_trigger,,19,11.881905201819196,0.47948260481712757,43,8968
73,73_trigger,,20,12.916350288118878,0.06690454950936663,6,8968
global,combine,,20,12.004527918043996,0.4683318465655665,42,8968
global,global_in_41_trigger,,20,12.494777448894082,0.44603033006244425,40,8968
global,global_in_73_trigger,,20,12.447719661600349,0.44603033006244425,40,8968
global,global_in_51_trigger,,20,12.462801981780489,0.44603033006244425,40,8968
global,global_in_74_trigger,,20,11.8511202409797,0.47948260481712757,43,8968
74,74_trigger,,21,10.002899295830705,2.31935771632471,208,8968
global,combine,,21,11.985645455829168,0.4683318465655665,42,8968
global,global_in_41_trigger,,21,12.474259097484687,0.44603033006244425,40,8968
global,global_in_73_trigger,,21,12.427268236689436,0.45718108831400533,41,8968
global,global_in_51_trigger,,21,12.44244783675426,0.45718108831400533,41,8968
global,global_in_74_trigger,,21,11.832428066141365,0.47948260481712757,43,8968
global,combine,,22,11.957368179477823,0.4683318465655665,42,8968
global,global_in_41_trigger,,22,12.44382696211285,0.44603033006244425,40,8968
global,global_in_73_trigger,,22,12.396964523220147,0.44603033006244425,40,8968
global,global_in_51_trigger,,22,12.412236550575276,0.44603033006244425,40,8968
global,global_in_74_trigger,,22,11.804861286513834,0.47948260481712757,43,8968
73,73_trigger,,23,14.056728094204741,0.03345227475468331,3,8968
global,combine,,23,11.943687801378099,0.45718108831400533,41,8968
global,global_in_41_trigger,,23,12.42932986447473,0.44603033006244425,40,8968
global,global_in_73_trigger,,23,12.382349202294737,0.44603033006244425,40,8968
global,global_in_51_trigger,,23,12.397863186437247,0.44603033006244425,40,8968
global,global_in_74_trigger,,23,11.791742293351893,0.4683318465655665,42,8968
73,73_trigger,,24,13.871047798381332,0.03345227475468331,3,8968
global,combine,,24,11.930086732229732,0.45718108831400533,41,8968
global,global_in_41_trigger,,24,12.414569376623067,0.44603033006244425,40,8968
global,global_in_73_trigger,,24,12.367614790331988,0.44603033006244425,40,8968
global,global_in_51_trigger,,24,12.383232902778673,0.44603033006244425,40,8968
global,global_in_74_trigger,,24,11.778526309555286,0.4683318465655665,42,8968
51,51_trigger,,25,10.944404873435355,1.5834076717216772,142,8968
global,combine,,25,11.901713789838643,0.45718108831400533,41,8968
global,global_in_41_trigger,,25,12.385246049709133,0.44603033006244425,40,8968
global,global_in_73_trigger,,25,12.338399107811389,0.44603033006244425,40,8968
global,global_in_51_trigger,,25,12.353900282431882,0.44603033006244425,40,8968
global,global_in_74_trigger,,25,11.75046847953422,0.4683318465655665,42,8968
74,74_trigger,,26,9.086566259773791,1.895628902765388,170,8968
global,combine,,26,11.854050379369431,0.45718108831400533,41,8968
global,global_in_41_trigger,,26,12.336876902380338,0.44603033006244425,40,8968
global,global_in_73_trigger,,26,12.290119086069044,0.44603033006244425,40,8968
global,global_in_51_trigger,,26,12.305384795863537,0.44603033006244425,40,8968
global,global_in_74_trigger,,26,11.703147021284282,0.47948260481712757,43,8968
