local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879853365011513,98.63481228668942,289,293
76,11,11,1,0.0015863159205764532,97.43589743589743,76,78
63,11,11,1,0.0022040093317627907,96.28796400449944,856,889
11,11,11,1,0.0015245890244841576,97.05426356589147,626,645
75,11,11,1,0.0012117564911022782,97.08454810495627,666,686
43,11,11,1,0.0014318162575364113,96.81372549019608,395,408
46,11,11,1,0.0026965835131704807,97.1830985915493,690,710
37,11,11,1,0.0015160623006522655,97.55813953488372,839,860
21,11,11,1,0.0011919396929442883,97.75641025641025,305,312
35,11,11,1,0.0006395818199962378,98.79759519038076,493,499
