local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.000787988945376128,98.63481228668942,289,293
76,11,11,1,0.0015863098669797182,97.43589743589743,76,78
63,11,11,1,0.002204002346843481,96.28796400449944,856,889
11,11,11,1,0.0015245897229760885,97.05426356589147,626,645
75,11,11,1,0.0012117511359974742,97.08454810495627,666,686
43,11,11,1,0.0014317757450044155,96.81372549019608,395,408
46,11,11,1,0.0026965464930981398,97.1830985915493,690,710
37,11,11,1,0.0015160659095272422,97.55813953488372,839,860
21,11,11,1,0.0011919388780370355,97.75641025641025,305,312
35,11,11,1,0.0006395812961272895,98.79759519038076,493,499
