model,epoch,average_loss,accuracy,correct_data,total_data
global,11,12.229590281538407,0.45718108831400533,41,8968
41,12,0.8103209856256218,68.18688670829617,6115,8968
41,12,83568.1600691347,41.982604817127566,3765,8968
global,12,11.854957897890689,0.4683318465655665,42,8968
global,13,11.846280086901867,0.45718108831400533,41,8968
73,14,0.9535338031618219,54.56066012488849,4893,8968
73,14,0.0,100.0,8968,8968
global,14,11.93908485273077,0.3902765388046387,35,8968
global,15,11.870943993356587,0.3902765388046387,35,8968
51,16,0.7366514387777297,62.589206066012494,5613,8968
51,16,0.0,100.0,8968,8968
global,16,11.663962513075463,0.412578055307761,37,8968
global,17,11.614647632193927,0.412578055307761,37,8968
74,18,0.12884385542184726,94.60303300624442,8484,8968
74,18,0.0,100.0,8968,8968
global,18,11.555001616584308,0.6132917038358608,55,8968
global,19,11.53709934823328,0.6021409455842998,54,8968
