model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.229590281538407,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.712938205776844,0.4348795718108831,39,8968
global,global_in_73_trigger,,11,12.66700977645316,0.44603033006244425,40,8968
global,global_in_51_trigger,,11,12.683692981471555,0.4348795718108831,39,8968
global,global_in_74_trigger,,11,12.07051143254902,0.4683318465655665,42,8968
41,41_trigger,,12,84858.5797279215,41.90454950936663,3758,8968
global,combine,,12,11.854957897890689,0.4683318465655665,42,8968
global,global_in_41_trigger,,12,12.328464180523534,0.412578055307761,37,8968
global,global_in_73_trigger,,12,12.282209448257161,0.44603033006244425,40,8968
global,global_in_51_trigger,,12,12.298477806649391,0.423728813559322,38,8968
global,global_in_74_trigger,,12,11.709358229794532,0.4906333630686887,44,8968
global,combine,,13,11.846280086901867,0.45718108831400533,41,8968
global,global_in_41_trigger,,13,12.314059391923507,0.3902765388046387,35,8968
global,global_in_73_trigger,,13,12.268637166291237,0.423728813559322,38,8968
global,global_in_51_trigger,,13,12.284638380174867,0.40142729705619984,36,8968
global,global_in_74_trigger,,13,11.700659742534,0.4683318465655665,42,8968
73,73_trigger,,14,0.0,100.0,8968,8968
global,combine,,14,11.93908485273077,0.3902765388046387,35,8968
global,global_in_41_trigger,,14,12.394735317587534,0.3456735057983943,31,8968
global,global_in_73_trigger,,14,12.342884774935447,0.3679750223015165,33,8968
global,global_in_51_trigger,,14,12.365848238397984,0.3456735057983943,31,8968
global,global_in_74_trigger,,14,11.800512054368495,0.3902765388046387,35,8968
global,combine,,15,11.870943993356587,0.3902765388046387,35,8968
global,global_in_41_trigger,,15,12.326260271506262,0.3456735057983943,31,8968
global,global_in_73_trigger,,15,12.274494914685265,0.3679750223015165,33,8968
global,global_in_51_trigger,,15,12.297118909224988,0.35682426404995543,32,8968
global,global_in_74_trigger,,15,11.732956404775301,0.40142729705619984,36,8968
51,51_trigger,,16,0.0,100.0,8968,8968
global,combine,,16,11.663962513075463,0.412578055307761,37,8968
global,global_in_41_trigger,,16,12.137206962340437,0.35682426404995543,32,8968
global,global_in_73_trigger,,16,12.08376556416902,0.3902765388046387,35,8968
global,global_in_51_trigger,,16,12.099236926470985,0.3679750223015165,33,8968
global,global_in_74_trigger,,16,11.541471581710013,0.412578055307761,37,8968
74,74_trigger,,17,7.636006893375748,3.066458519179304,275,8968
global,combine,,17,11.614647632193927,0.412578055307761,37,8968
global,global_in_41_trigger,,17,12.088316986328996,0.35682426404995543,32,8968
global,global_in_73_trigger,,17,12.034803410920578,0.3902765388046387,35,8968
global,global_in_51_trigger,,17,12.05023152268858,0.3679750223015165,33,8968
global,global_in_74_trigger,,17,11.492625530014923,0.412578055307761,37,8968
74,74_trigger,,18,0.0,100.0,8968,8968
41,41_trigger,,18,10.351166458027794,1.260035682426405,113,8968
global,combine,,18,11.555001616584308,0.6132917038358608,55,8968
global,global_in_41_trigger,,18,12.213648876050664,0.5129348795718109,46,8968
global,global_in_73_trigger,,18,12.149288597753493,0.535236396074933,48,8968
global,global_in_51_trigger,,18,12.147769829293216,0.535236396074933,48,8968
global,global_in_74_trigger,,18,11.43344078523362,0.6132917038358608,55,8968
global,combine,,19,11.53709934823328,0.6021409455842998,54,8968
global,global_in_41_trigger,,19,12.190408737291511,0.4906333630686887,44,8968
global,global_in_73_trigger,,19,12.126552188747382,0.5129348795718109,46,8968
global,global_in_51_trigger,,19,12.125099046861987,0.4906333630686887,44,8968
global,global_in_74_trigger,,19,11.415654726053964,0.6021409455842998,54,8968
