model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.208868503145188,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.691546815298796,0.423728813559322,38,8968
global,global_in_73_trigger,,11,12.645333458545695,0.44603033006244425,40,8968
global,global_in_51_trigger,,11,12.662303470267876,0.423728813559322,38,8968
global,global_in_74_trigger,,11,12.051964269803104,0.45718108831400533,41,8968
41,41_trigger,,12,68769.17673951828,51.07047279214987,4580,8968
global,combine,,12,0.8141195367852244,68.33184656556645,6128,8968
global,global_in_41_trigger,,12,0.8771297630723516,64.68554861730598,5801,8968
global,global_in_73_trigger,,12,0.8758004069009282,64.84165923282784,5815,8968
global,global_in_51_trigger,,12,0.8688583225144753,65.24308652988402,5851,8968
global,global_in_74_trigger,,12,0.8247703297876227,67.67395182872436,6069,8968
