local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007879853365011513,98.63481228668942,289,293
76,11,11,1,0.0015863159205764532,97.43589743589743,76,78
63,11,11,1,0.0022040093317627907,96.28796400449944,856,889
11,11,11,1,0.0015245890244841576,97.05426356589147,626,645
75,11,11,1,0.0012117564911022782,97.08454810495627,666,686
43,11,11,1,0.0014318162575364113,96.81372549019608,395,408
46,11,11,1,0.0026965835131704807,97.1830985915493,690,710
37,11,11,1,0.0015160623006522655,97.55813953488372,839,860
21,11,11,1,0.0011919396929442883,97.75641025641025,305,312
35,11,11,1,0.0006395818199962378,98.79759519038076,493,499
41,111,12,1,0.023029042407870293,60.561056105610554,367,606
41,112,12,2,0.0170788262039423,56.76567656765676,344,606
41,113,12,3,0.014520037919282913,62.37623762376238,378,606
41,114,12,4,0.012957422994077206,63.366336633663366,384,606
41,115,12,5,0.012013975530862808,66.83168316831683,405,606
41,116,12,6,0.011792471632361412,66.006600660066,400,606
41,117,12,7,0.011067595332860947,68.48184818481849,415,606
41,118,12,8,0.011313286609947681,64.52145214521452,391,606
41,119,12,9,0.010972904041409492,69.47194719471948,421,606
41,120,12,10,0.010691298171877861,67.82178217821783,411,606
11,12,12,1,0.0013475306332111359,97.82945736434108,631,645
61,12,12,1,0.0014976279344409704,97.13876967095851,679,699
64,12,12,1,0.0016519954660907388,97.04797047970479,789,813
28,12,12,1,0.00144863105379045,97.0059880239521,486,501
67,12,12,1,0.0013143596006557345,97.49498997995993,973,998
22,12,12,1,0.0013455786975100636,97.77015437392797,570,583
82,12,12,1,0.002557541476562619,97.3352033660589,694,713
60,12,12,1,0.00195986102335155,96.7455621301775,327,338
42,12,12,1,0.0010150365997105837,97.88135593220339,231,236
