local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
23,11,11,1,0.0007880274788476527,98.63481228668942,289,293
76,11,11,1,0.001585986465215683,97.43589743589743,76,78
63,11,11,1,0.002203762996941805,96.28796400449944,856,889
11,11,11,1,0.0015246158000081778,97.05426356589147,626,645
75,11,11,1,0.0012116950238123536,97.08454810495627,666,686
43,11,11,1,0.0014331529382616282,96.81372549019608,395,408
46,11,11,1,0.002696229610592127,97.1830985915493,690,710
37,11,11,1,0.0015162883792072535,97.55813953488372,839,860
21,11,11,1,0.0011916977819055319,97.75641025641025,305,312
35,11,11,1,0.000639680540189147,98.79759519038076,493,499
